row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row2741;CHEMBL2408830;nM;45;C=CC(=O)N1CCN(c2ccc(Nc3ncc(Cl)c(Oc4cccc(COc5no[n+]([O-])c5S(=O)(=O)c5ccccc5)c4)n3)c(OC)c2)CC1;CHEMBL203;7.346787486224656
Row2743;CHEMBL24137;nM;100;COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCCN1CCOCC1;CHEMBL203;7
Row2746;CHEMBL241918;nM;107.3;CCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccc(OC)c4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C;CHEMBL203;6.969400278034049
Row2747;CHEMBL241919;nM;24.9;CCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccc(C)c4)=CC3=O)c2cc1NC(=O)/C=C/CN(C)C;CHEMBL203;7.603800652904264
Row2749;CHEMBL2419760;nM;2;Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCO5)c2)cc1;CHEMBL203;8.698970004336019
Row2750;CHEMBL2419762;nM;27;Cl.c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCCO5)c2)cc1;CHEMBL203;7.568636235841013
Row2754;CHEMBL2420866;nM;5;COc1ccc2c(c1)CCCN2c1nc(C)nc2ccccc12;CHEMBL203;8.301029995663981
Row2755;CHEMBL2420867;nM;5.4;COc1ccc2c(c1)CCCN2c1nc(Cl)nc2ccccc12;CHEMBL203;8.267606240177031
Row2761;CHEMBL242349;nM;7710;COCCOc1cc2ncnc(NC3=CC(=O)C(OCc4cccc(OC)c4)=CC3=O)c2cc1OC;CHEMBL203;5.112945621949043
Row2764;CHEMBL2424664;nM;158;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN1CC2(C1)CS(=O)(=O)C2;CHEMBL203;6.801342913045577
Row2765;CHEMBL2424676;nM;19000;C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N1CCN(C)CC1;CHEMBL203;4.721246399047172
Row2766;CHEMBL2424794;nM;3600;O=C(/C=C/c1cccnc1Cl)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1;CHEMBL203;5.443697499232713
Row2767;CHEMBL2424795;nM;3400;Clc1cccc(Nc2ncnc3ccc(NCc4cccs4)cc23)c1;CHEMBL203;5.4685210829577455
Row2768;CHEMBL2424796;nM;1500;Clc1cccc(Nc2ncnc3ccc(NCc4ccc(Br)s4)cc23)c1;CHEMBL203;5.823908740944319
Row2769;CHEMBL2424799;nM;5100;CSCCCNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1;CHEMBL203;5.292429823902063
Row2770;CHEMBL2424801;nM;4700;O=C(/C=C/c1cccnc1)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1;CHEMBL203;5.327902142064284
